MUNICIPIO,HABITANTES (IJSN/2022),POPUL. COM IDADE ATIVA (IJSN/2022),ÍNDICE DE POPUL. OCUPADA (IBGE/2022),POPUL. ESTIMADA (IBGE/2024),IDH (IBGE/2010),MÉDIA DE RENDA PER CAPITA EM Nº DE SALÁRIOS MÍNIMOS (IBGE/2022),PIB / RENDA PER CAPITA (IBGE/2021)
Alegre,29.177,18.108,"16,88%",30.744,"0,721",2,"R$ 19.255,36"
Bom Jesus do Norte,10.254,6.394,"19,27%",10.764,"0,734","1,7","R$ 18.705,68"
Divino de São Lourenço,5.083,3.244,"13,77%",5.359,"0,632",2,"R$ 19.494,28"
Dores do Rio Preto,6.596,4.187,"17,01%",6.885,"0,654","1,7","R$ 23.521,60"
Guaçuí,29.358,17.978,"20,27%",31.290,"0,703","1,6","R$ 19.523,61"
Ibatiba,25.380,16.287,"15,58%",27.308,"0,647","1,9","R$ 16.818,25"
Ibitirama,9.520,5.978,"11,87%",9.973,"0,622","1,9","R$ 19.477,09"
Irupi,13.710,8.827,"12,20%",15.513,"0,637","1,8","R$ 17.277,94"
Iúna,28.590,18.157,"14,14%",30.444,"0,666","1,8","R$ 18.303,85"
Jerônimo Monteiro,11.575,7.082,"11,96%",12.079,"0,698","1,9","R$ 13.953,04"
Muniz Freire,18.153,11.274,"13,36%",18.811,"0,645","1,9","R$ 22.318,22"
São José do Calçado,10.878,6.410,"12,49%",11.373,"0,688","1,7","R$ 19.323,88"